State_Name,Season,Crop,Area,Production
Andaman and Nicobar Islands,Kharif     ,Rice,102.0,321.0
Andaman and Nicobar Islands,Whole Year ,Banana,176.0,641.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,18168.0,65100000.0
Andaman and Nicobar Islands,Kharif     ,Rice,83.0,300.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,18190.0,64430000.0
Andaman and Nicobar Islands,Kharif     ,Rice,189.2,510.84
Andaman and Nicobar Islands,Whole Year ,Banana,213.0,1278.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,18240.0,67490000.0
Andaman and Nicobar Islands,Kharif     ,Rice,52.0,90.17
Andaman and Nicobar Islands,Whole Year ,Banana,266.0,1763.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,18284.74,68580000.0
Andaman and Nicobar Islands,Kharif     ,Rice,52.94,72.57
Andaman and Nicobar Islands,Whole Year ,Banana,66.42,404.12
Andaman and Nicobar Islands,Whole Year ,Coconut ,18394.7,52380000.0
Andaman and Nicobar Islands,Kharif     ,Rice,2.09,12.06
Andaman and Nicobar Islands,Whole Year ,Banana,22.0,582.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,13876.57,52030000.0
Andaman and Nicobar Islands,Whole Year ,Banana,198.0,976.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,14358.0,59370000.0
Andaman and Nicobar Islands,Autumn     ,Rice,3.5,10.0
Andaman and Nicobar Islands,Rabi       ,Maize,3.84,18.22
Andaman and Nicobar Islands,Rabi       ,Moong(Green Gram),1.5,1.1
Andaman and Nicobar Islands,Rabi       ,Urad,1.5,1.16
Andaman and Nicobar Islands,Whole Year ,Banana,593.0,3425.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,14560.0,71300000.0
Andaman and Nicobar Islands,Kharif     ,Rice,10779.0,31863.0
Andaman and Nicobar Islands,Whole Year ,Banana,1531.0,12073.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,6992.0,23900000.0
Andaman and Nicobar Islands,Kharif     ,Rice,9718.0,27033.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,7015.0,25250000.0
Andaman and Nicobar Islands,Kharif     ,Rice,6854.3,18995.62
Andaman and Nicobar Islands,Whole Year ,Banana,957.57,8582.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,3575.0,15400000.0
Andaman and Nicobar Islands,Autumn     ,Rice,6791.0,20118.0
Andaman and Nicobar Islands,Rabi       ,Arhar/Tur,294.5,90.8
Andaman and Nicobar Islands,Rabi       ,Maize,86.7,96.4
Andaman and Nicobar Islands,Rabi       ,Moong(Green Gram),1168.6,556.55
Andaman and Nicobar Islands,Rabi       ,Urad,1059.5,458.79
Andaman and Nicobar Islands,Whole Year ,Banana,657.0,7968.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,3668.0,12700000.0
Andaman and Nicobar Islands,Kharif     ,Rice,10695.8,31600.82
Andaman and Nicobar Islands,Whole Year ,Banana,1524.0,10882.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,7060.0,26830000.0
Andaman and Nicobar Islands,Kharif     ,Rice,10509.37,30760.7
Andaman and Nicobar Islands,Whole Year ,Banana,1530.0,11558.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,7110.0,26660000.0
Andaman and Nicobar Islands,Kharif     ,Rice,10681.98,29119.66
Andaman and Nicobar Islands,Whole Year ,Banana,1912.1,17374.4
Andaman and Nicobar Islands,Whole Year ,Coconut ,7156.7,34750000.0
Andaman and Nicobar Islands,Kharif     ,Rice,8683.38,25870.98
Andaman and Nicobar Islands,Whole Year ,Banana,1656.8,10251.13
Andaman and Nicobar Islands,Whole Year ,Coconut ,7050.45,26430000.0
Andaman and Nicobar Islands,Kharif     ,Rice,921.87,2539.64
Andaman and Nicobar Islands,Whole Year ,Banana,483.0,4150.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,3483.09,14190000.0
Andaman and Nicobar Islands,Autumn     ,Rice,1595.5,3788.0
Andaman and Nicobar Islands,Rabi       ,Arhar/Tur,20.5,13.2
Andaman and Nicobar Islands,Rabi       ,Maize,73.0,253.0
Andaman and Nicobar Islands,Rabi       ,Moong(Green Gram),29.9,17.85
Andaman and Nicobar Islands,Rabi       ,Urad,34.0,15.05
Andaman and Nicobar Islands,Whole Year ,Banana,360.0,5517.0
Andaman and Nicobar Islands,Whole Year ,Coconut ,3540.0,11000000.0
Andhra Pradesh,Kharif     ,Arhar/Tur,21400.0,2600.0
Andhra Pradesh,Kharif     ,Cotton(lint),7300.0,9400.0
Andhra Pradesh,Kharif     ,Maize,2800.0,4900.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1300.0,500.0
Andhra Pradesh,Kharif     ,Rice,35600.0,75400.0
Andhra Pradesh,Rabi       ,Gram,28000.0,14800.0
Andhra Pradesh,Rabi       ,Maize,600.0,2400.0
Andhra Pradesh,Rabi       ,Rice,18000.0,37300.0
Andhra Pradesh,Kharif     ,Arhar/Tur,27400.0,9100.0
Andhra Pradesh,Kharif     ,Cotton(lint),14000.0,12900.0
Andhra Pradesh,Kharif     ,Maize,3300.0,6700.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),2100.0,1300.0
Andhra Pradesh,Kharif     ,Rice,38300.0,96800.0
Andhra Pradesh,Rabi       ,Gram,26200.0,25900.0
Andhra Pradesh,Rabi       ,Maize,300.0,1600.0
Andhra Pradesh,Rabi       ,Rice,26600.0,63900.0
Andhra Pradesh,Kharif     ,Cotton(lint),9453.0,10510.0
Andhra Pradesh,Kharif     ,Maize,3358.0,9540.0
Andhra Pradesh,Kharif     ,Masoor,23117.0,3861.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1546.0,1098.0
Andhra Pradesh,Kharif     ,Rice,37991.0,105082.0
Andhra Pradesh,Kharif     ,Urad,4.0,2.0
Andhra Pradesh,Rabi       ,Gram,26835.0,9365.0
Andhra Pradesh,Rabi       ,Maize,455.0,2203.0
Andhra Pradesh,Rabi       ,Masoor,98.0,10.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),1.0,1.0
Andhra Pradesh,Rabi       ,Rice,20258.0,45669.0
Andhra Pradesh,Kharif     ,Arhar/Tur,30693.0,7888.0
Andhra Pradesh,Kharif     ,Cotton(lint),12025.0,16128.0
Andhra Pradesh,Kharif     ,Gram,21.0,14.0
Andhra Pradesh,Kharif     ,Maize,3475.0,9049.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1744.0,774.0
Andhra Pradesh,Kharif     ,Rice,39905.0,117680.0
Andhra Pradesh,Kharif     ,Urad,135.0,8.0
Andhra Pradesh,Rabi       ,Arhar/Tur,35.0,9.0
Andhra Pradesh,Rabi       ,Gram,33858.0,22685.0
Andhra Pradesh,Rabi       ,Maize,399.0,2148.0
Andhra Pradesh,Rabi       ,Rice,22099.0,57236.0
Andhra Pradesh,Rabi       ,Urad,363.0,292.0
Andhra Pradesh,Whole Year ,Banana,769.0,11693.0
Andhra Pradesh,Whole Year ,Coconut ,908.0,3896970.0
Andhra Pradesh,Kharif     ,Arhar/Tur,27942.0,7628.0
Andhra Pradesh,Kharif     ,Cotton(lint),8552.0,9055.0
Andhra Pradesh,Kharif     ,Gram,16.0,17.0
Andhra Pradesh,Kharif     ,Maize,2667.0,7129.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1511.0,730.0
Andhra Pradesh,Kharif     ,Rice,32878.0,95609.0
Andhra Pradesh,Kharif     ,Urad,487.0,176.0
Andhra Pradesh,Rabi       ,Arhar/Tur,5.0,1.0
Andhra Pradesh,Rabi       ,Gram,47894.0,50145.0
Andhra Pradesh,Rabi       ,Maize,447.0,2893.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),40.0,12.0
Andhra Pradesh,Rabi       ,Rice,38119.0,108906.0
Andhra Pradesh,Rabi       ,Urad,127.0,86.0
Andhra Pradesh,Whole Year ,Banana,1582.0,462.0
Andhra Pradesh,Whole Year ,Coconut ,851.0,3053700.0
Andhra Pradesh,Kharif     ,Arhar/Tur,33454.0,6557.0
Andhra Pradesh,Kharif     ,Cotton(lint),7638.0,7144.0
Andhra Pradesh,Kharif     ,Maize,3541.0,3431.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1150.0,174.0
Andhra Pradesh,Kharif     ,Rice,29066.0,66329.0
Andhra Pradesh,Kharif     ,Urad,32.0,2.0
Andhra Pradesh,Rabi       ,Gram,54264.0,20186.0
Andhra Pradesh,Rabi       ,Maize,1288.0,8933.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),4.0,1.0
Andhra Pradesh,Rabi       ,Rice,10960.0,20462.0
Andhra Pradesh,Rabi       ,Urad,408.0,236.0
Andhra Pradesh,Whole Year ,Banana,19.0,1006.0
Andhra Pradesh,Whole Year ,Coconut ,869.0,3691149.0
Andhra Pradesh,Whole Year ,Grapes,111.0,2075.0
Andhra Pradesh,Whole Year ,Mango,3968.0,26176.0
Andhra Pradesh,Whole Year ,Orange,13767.0,112541.0
Andhra Pradesh,Whole Year ,Other Fresh Fruits,2418.0,1552.0
Andhra Pradesh,Whole Year ,Papaya,1544.0,201409.0
Andhra Pradesh,Kharif     ,Arhar/Tur,41178.0,6959.0
Andhra Pradesh,Kharif     ,Cotton(lint),4212.0,4262.0
Andhra Pradesh,Kharif     ,Maize,6246.0,10718.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1216.0,662.0
Andhra Pradesh,Kharif     ,Rice,17515.0,44891.0
Andhra Pradesh,Kharif     ,Urad,82.0,51.0
Andhra Pradesh,Rabi       ,Gram,51461.0,15438.0
Andhra Pradesh,Rabi       ,Maize,1212.0,6787.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),22.0,7.0
Andhra Pradesh,Rabi       ,Rice,10826.0,25463.0
Andhra Pradesh,Whole Year ,Banana,36.0,1302.0
Andhra Pradesh,Whole Year ,Coconut ,839.0,3285828.0
Andhra Pradesh,Whole Year ,Grapes,118.0,2048.0
Andhra Pradesh,Whole Year ,Mango,3935.0,58337.0
Andhra Pradesh,Whole Year ,Orange,13441.0,224640.0
Andhra Pradesh,Whole Year ,Other Fresh Fruits,3241.0,3586.0
Andhra Pradesh,Whole Year ,Papaya,1381.0,60038.0
Andhra Pradesh,Kharif     ,Arhar/Tur,32752.0,7893.0
Andhra Pradesh,Kharif     ,Cotton(lint),8933.0,7041.0
Andhra Pradesh,Kharif     ,Maize,3495.0,10031.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1464.0,545.0
Andhra Pradesh,Kharif     ,Rice,24335.0,85051.0
Andhra Pradesh,Kharif     ,Urad,76.0,37.0
Andhra Pradesh,Rabi       ,Gram,42106.0,9516.0
Andhra Pradesh,Rabi       ,Maize,3572.0,25822.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),3.0,1.0
Andhra Pradesh,Rabi       ,Rice,9240.0,21622.0
Andhra Pradesh,Whole Year ,Banana,324.0,16897.0
Andhra Pradesh,Whole Year ,Coconut ,837.0,6413350.0
Andhra Pradesh,Kharif     ,Arhar/Tur,35013.0,23704.0
Andhra Pradesh,Kharif     ,Cotton(lint),3295.0,3450.0
Andhra Pradesh,Kharif     ,Maize,5958.0,21538.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1078.0,747.0
Andhra Pradesh,Kharif     ,Rice,25008.0,69972.0
Andhra Pradesh,Kharif     ,Urad,69.0,24.0
Andhra Pradesh,Rabi       ,Gram,49105.0,48172.0
Andhra Pradesh,Rabi       ,Maize,1435.0,10721.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),16.0,5.0
Andhra Pradesh,Rabi       ,Rice,23142.0,55587.0
Andhra Pradesh,Rabi       ,Urad,11.0,7.0
Andhra Pradesh,Whole Year ,Banana,303.0,16231.0
Andhra Pradesh,Whole Year ,Coconut ,836.0,3358992.0
Andhra Pradesh,Kharif     ,Arhar/Tur,26244.0,3543.0
Andhra Pradesh,Kharif     ,Cotton(lint),1506.0,1940.0
Andhra Pradesh,Kharif     ,Maize,4877.0,20181.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),788.0,98.0
Andhra Pradesh,Kharif     ,Rice,22349.0,67427.0
Andhra Pradesh,Kharif     ,Urad,69.0,26.0
Andhra Pradesh,Rabi       ,Gram,83533.0,30739.0
Andhra Pradesh,Rabi       ,Maize,3120.0,23640.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),139.0,52.0
Andhra Pradesh,Rabi       ,Rice,10846.0,31974.0
Andhra Pradesh,Rabi       ,Urad,24.0,19.0
Andhra Pradesh,Whole Year ,Banana,289.0,14141.0
Andhra Pradesh,Whole Year ,Coconut ,790.0,6404076.0
Andhra Pradesh,Kharif     ,Arhar/Tur,37000.0,17000.0
Andhra Pradesh,Kharif     ,Cotton(lint),3000.0,2000.0
Andhra Pradesh,Kharif     ,Maize,7000.0,32000.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1000.0,
Andhra Pradesh,Kharif     ,Rice,30000.0,95000.0
Andhra Pradesh,Rabi       ,Gram,75000.0,78000.0
Andhra Pradesh,Rabi       ,Maize,6000.0,48000.0
Andhra Pradesh,Rabi       ,Rice,14000.0,37000.0
Andhra Pradesh,Kharif     ,Arhar/Tur,34067.0,13150.0
